FactionID	AniFile
0	F2_D001_Body_ani
1	F2_TS001_Body_ani
2	F2_TS001_Body_ani
3	F2_TS001_Body_ani
4	F2_TS001_Body_ani
5	F2_TS001_Body_ani
6	F2_TS001_Body_ani
7	F2_TS001_Body_ani
8	F2_TS001_Body_ani
9	F2_TS001_Body_ani
10	F2_TS001_Body_ani
11	F2_TS001_Body_ani
12	F2_TS001_Body_ani
13	F2_TS001_Body_ani
14	F2_TS001_Body_ani
15	F2_TS001_Body_ani
16	F2_TS001_Body_ani
17	F2_TS001_Body_ani
18	F2_TS001_Body_ani
19	F2_TS001_Body_ani
20	F2_TS001_Body_ani
21	F2_TS001_Body_ani
22	F2_TS001_Body_ani
23	F2_TS001_Body_ani
24	F2_TS001_Body_ani
25	F2_TS001_Body_ani
26	F2_TS001_Body_ani
27	F2_TS001_Body_ani
28	F2_TS001_Body_ani
29	F2_TS001_Body_ani
30	F2_TS001_Body_ani
31	F2_TS001_Body_ani
32	F2_TS001_Body_ani
33	F2_TS001_Body_ani
34	F2_TS001_Body_ani
35	F2_TS001_Body_ani
36	F2_TS001_Body_ani
37	F2_TS001_Body_ani
38	F2_TS001_Body_ani
39	F2_TS001_Body_ani
40	F2_TS001_Body_ani
