FactionID	AniFile
0	M1_D001_Head_ani
1	M1_TS001_Head_ani
2	M1_TS001_Head_ani
3	M1_TS001_Head_ani
4	M1_TS001_Head_ani
5	M1_TS001_Head_ani
6	M1_TS001_Head_ani
7	M1_TS001_Head_ani
8	M1_TS001_Head_ani
9	M1_TS001_Head_ani
10	M1_TS001_Head_ani
11	M1_TS001_Head_ani
12	M1_TS001_Head_ani
13	M1_TS001_Head_ani
14	M1_TS001_Head_ani
15	M1_TS001_Head_ani
16	M1_TS001_Head_ani
17	M1_TS001_Head_ani
18	M1_TS001_Head_ani
19	M1_TS001_Head_ani
20	M1_TS001_Head_ani
21	M1_TS001_Head_ani
22	M1_TS001_Head_ani
23	M1_TS001_Head_ani
24	M1_TS001_Head_ani
25	M1_TS001_Head_ani
26	M1_TS001_Head_ani
27	M1_TS001_Head_ani
28	M1_TS001_Head_ani
29	M1_TS001_Head_ani
30	M1_TS001_Head_ani
31	M1_TS001_Head_ani
32	M1_TS001_Head_ani
33	M1_TS001_Head_ani
34	M1_TS001_Head_ani
35	M1_TS001_Head_ani
36	M1_TS001_Head_ani
37	M1_TS001_Head_ani
38	M1_TS001_Head_ani
39	M1_TS001_Head_ani
40	M1_TS001_Head_ani
