nType	nPartnerQuality	nCount0	nCount1	nCount2	nCount3	nCount4	nCount5	nQuality1	nQuality2	nQuality3	nQuality4	nQuality5	nQuality6
1	1	0	310	450	180	50	10	0	0	0	3428	5372	1200
1	2	0	310	450	180	50	10	0	0	4200	4600	1200	0
1	3	102	460	320	80	30	8	0	3571	5179	1250	0	0
1	4	102	460	320	80	30	8	3408	5142	1450	0	0	0
1	5	102	460	320	80	30	8	8333	1667	0	0	0	0
1	6	560	390	40	10	0	0	10000	0	0	0	0	0
2	1	0	0	0	300	400	300	0	0	0	3428	5372	1200
2	2	0	0	0	300	400	300	0	0	4200	4600	1200	0
2	3	0	0	200	600	200	0	0	3571	5179	1250	0	0
2	4	0	0	200	600	200	0	3408	5142	1450	0	0	0
2	5	0	0	200	600	200	0	8333	1667	0	0	0	0
2	6	0	600	300	100	0	0	10000	0	0	0	0	0
3	1	0	0	0	300	400	300	0	0	0	2000	4800	3200
3	2	0	0	0	300	400	300	0	0	2300	4900	2800	0
3	3	0	0	300	460	180	60	0	2000	4800	3200	0	0
3	4	0	0	300	460	180	60	1200	5600	3200	0	0	0
3	5	0	0	300	460	180	60	5000	5000	0	0	0	0
3	6	0	600	300	100	0	0	10000	0	0	0	0	0
4	1	0	310	450	240	0	0	0	0	0	3428	6572	0
4	2	0	310	450	240	0	0	0	0	4200	5800	0	0
4	3	102	460	320	118	0	0	0	3571	6429	0	0	0
4	4	102	460	320	118	0	0	3408	5142	1450	0	0	0
4	5	102	460	320	118	0	0	8333	1667	0	0	0	0
4	6	560	390	40	10	0	0	10000	0	0	0	0	0
