QualityLevel	Level	FightPower
1	1	1
1	2	1
1	3	1
1	4	1
1	5	1
1	6	2
1	7	2
1	8	2
1	9	3
1	10	4
1	11	5
1	12	7
1	13	8
1	14	10
1	15	12
1	16	13
1	17	15
1	18	16
1	19	18
1	20	20
1	21	34
1	22	48
1	23	62
1	24	76
1	25	90
1	26	104
1	27	118
1	28	132
1	29	146
1	30	160
1	31	197
1	32	234
1	33	272
1	34	309
1	35	346
1	36	384
1	37	421
1	38	458
1	39	496
1	40	533
1	41	613
1	42	693
1	43	773
1	44	853
1	45	933
1	46	1013
1	47	1093
1	48	1173
1	49	1253
1	50	1333
1	51	1533
1	52	1733
1	53	1933
1	54	2133
1	55	2333
1	56	2533
1	57	2733
1	58	2933
1	59	3133
1	60	3333
1	61	3666
1	62	4000
1	63	4333
1	64	4666
1	65	5000
1	66	5333
1	67	5666
1	68	6000
1	69	6333
1	70	6666
1	71	7333
1	72	8000
1	73	8666
1	74	9333
1	75	10000
1	76	10666
1	77	11333
1	78	12000
1	79	12666
1	80	13333
1	81	14666
1	82	16000
1	83	17333
1	84	18666
1	85	20000
1	86	21333
1	87	22666
1	88	24000
1	89	25333
1	90	26666
1	91	29333
1	92	32000
1	93	34666
1	94	37333
1	95	40000
1	96	42666
1	97	45333
1	98	48000
1	99	50666
1	100	53333
2	1	1
2	2	1
2	3	1
2	4	1
2	5	1
2	6	1
2	7	1
2	8	2
2	9	2
2	10	3
2	11	4
2	12	5
2	13	6
2	14	7
2	15	9
2	16	10
2	17	11
2	18	12
2	19	13
2	20	15
2	21	25
2	22	36
2	23	46
2	24	57
2	25	67
2	26	78
2	27	88
2	28	99
2	29	109
2	30	120
2	31	148
2	32	176
2	33	204
2	34	232
2	35	260
2	36	288
2	37	316
2	38	344
2	39	372
2	40	400
2	41	460
2	42	520
2	43	580
2	44	640
2	45	700
2	46	760
2	47	820
2	48	880
2	49	940
2	50	1000
2	51	1150
2	52	1300
2	53	1450
2	54	1600
2	55	1750
2	56	1900
2	57	2050
2	58	2200
2	59	2350
2	60	2500
2	61	2750
2	62	3000
2	63	3250
2	64	3500
2	65	3750
2	66	4000
2	67	4250
2	68	4500
2	69	4750
2	70	5000
2	71	5500
2	72	6000
2	73	6500
2	74	7000
2	75	7500
2	76	8000
2	77	8500
2	78	9000
2	79	9500
2	80	10000
2	81	11000
2	82	12000
2	83	13000
2	84	14000
2	85	15000
2	86	16000
2	87	17000
2	88	18000
2	89	19000
2	90	20000
2	91	22000
2	92	24000
2	93	26000
2	94	28000
2	95	30000
2	96	32000
2	97	34000
2	98	36000
2	99	38000
2	100	40000
3	1	1
3	2	1
3	3	1
3	4	1
3	5	1
3	6	1
3	7	1
3	8	1
3	9	2
3	10	2
3	11	3
3	12	4
3	13	5
3	14	6
3	15	7
3	16	8
3	17	9
3	18	10
3	19	11
3	20	12
3	21	20
3	22	28
3	23	37
3	24	45
3	25	54
3	26	62
3	27	70
3	28	79
3	29	87
3	30	96
3	31	118
3	32	140
3	33	163
3	34	185
3	35	208
3	36	230
3	37	252
3	38	275
3	39	297
3	40	320
3	41	368
3	42	416
3	43	464
3	44	512
3	45	560
3	46	608
3	47	656
3	48	704
3	49	752
3	50	800
3	51	920
3	52	1040
3	53	1160
3	54	1280
3	55	1400
3	56	1520
3	57	1640
3	58	1760
3	59	1880
3	60	2000
3	61	2200
3	62	2400
3	63	2600
3	64	2800
3	65	3000
3	66	3200
3	67	3400
3	68	3600
3	69	3800
3	70	4000
3	71	4400
3	72	4800
3	73	5200
3	74	5600
3	75	6000
