1	达摩	菩提达摩，南北朝禅僧，略称达摩或达磨，意译为觉法，据《续高僧传》记述，南印度人，属刹帝利种姓，通彻大乘佛法，为修习禅定者所推崇。北魏时，曾在洛阳、嵩山等地传授禅教。当时对他所传的禅法褒贬不一，约当魏末入寂于洛滨。据《景德传灯录》在民间常称其为达摩祖师，即禅宗的创始人。著作有《少室六门》上下卷，包括《心经颂》、《破相论》、《二种入》、《安心法门》、《悟性论》、《血脉论》6种。还有敦煌出土的《达摩和尚绝观论》、《释菩提达摩无心论》、《南天竺菩提达摩禅师观门》等，大都系后人所托。弟子有慧可、道育、僧副和昙林等，梁武大同二年圆寂，终年150岁。
1	达摩	菩提达摩，南北朝禅僧，略称达摩或达磨，意译为觉法，据《续高僧传》记述，南印度人，属刹帝利种姓，通彻大乘佛法，为修习禅定者所推崇。北魏时，曾在洛阳、嵩山等地传授禅教。当时对他所传的禅法褒贬不一，约当魏末入寂于洛滨。据《景德传灯录》在民间常称其为达摩祖师，即禅宗的创始人。著作有《少室六门》上下卷，包括《心经颂》、《破相论》、《二种入》、《安心法门》、《悟性论》、《血脉论》6种。还有敦煌出土的《达摩和尚绝观论》、《释菩提达摩无心论》、《南天竺菩提达摩禅师观门》等，大都系后人所托。弟子有慧可、道育、僧副和昙林等，梁武大同二年圆寂，终年150岁。
4	鬼谷子	鬼谷子，姓王名诩，又名王禅，道号玄微子。战国显赫人物，华夏族，创建鬼谷门派。他通天彻地，智慧卓绝，人不能及。一曰数学，日星象纬，在其掌中，占往察来，言无不验；二曰兵学，六韬三略，变化无穷，布阵行兵，鬼神不测；三曰言学，广记多闻，明理审势，出词吐辩，万口莫当；四曰出世，修真养性，祛病延年，服食导引，平地飞升。
6	秦始皇	秦始皇（前259年—前210年），嬴姓，赵氏，名政。秦庄襄王之子。出生于赵国都城邯郸，十三岁继承王位，三十九岁称皇帝，在位三十七年。中国历史上著名的政治家、战略家、改革家，首位完成华夏大一统的铁腕政治人物。建立首个多民族的中央集权国家，曾采用三皇之“皇”、五帝之“帝”构成“皇帝”的称号，是古今中外第一个称皇帝的封建王朝君主。秦始皇在中央创建皇帝制度，实行三公九卿，管理国家大事。地方上废除分封制，代以郡县制，同时书同文，车同轨，统一度量衡。对外北击匈奴，南征百越，修筑万里长城，修筑灵渠，沟通水系。
9	张三丰	张三丰（1247年——），汉族，名君宝（又名全一），道号三丰。武林至尊、民族英雄、内拳始祖、太极始祖、武学泰斗、龙行书法始祖。张三丰集各派绝学于一身，对抗元朝、打击贼寇，在武林声名显赫。丹道上，完成炼虚合道修持，形神俱妙，武当山道人，武当派始祖。张三丰是道家内丹祖师和道家拳术祖师，是丹道修炼的集大成者，主张“福自我求，命自我造”。张三丰所创武学有王屋山邋遢派、三丰自然派、三丰派、三丰正宗自然派、日新派、蓬莱派、檀塔派、隐仙派、武当丹派、犹龙派等至少十七支。
13	杨影枫	悲魔山庄庄主，江湖人称“悲魔剑圣”，“北上官，南熙烈”中杨熙烈之子，天资卓越。紧记父亲遗命，立志成为武功天下第一的人，踏入江湖后体会到武林中的波谲云诡，不得不开始重新审视这个理想。被卓非凡谋害，从剑气峰打下山崖，命在旦夕时被忘忧岛的纳兰真救起，并在其帮助下因缘际会得到无忧教前代教主玄天道人遗书真传，也因此肩负了为师报仇、平息武林纷争的重担。
56	杨熙烈	杨影枫之父，江湖人称「北上官，南熙烈」的武林两大使剑高手之一，为人豪爽，重情义，但有时兴之所至，不顾他人感受，性格如同其剑招，咄咄逼人，不留余地。后在凌绝峰与上官飞龙比武，胜负难分，力竭殒命。
79	卓非凡	藏剑山庄庄主，武林中新一辈青年俊杰，英俊潇洒，文武双全，也是江湖上人人敬仰的一位大侠。但是他在那英俊和蔼的外表背后，似乎深深隐藏着不为众人所知的东西。为了得到《武道德经》，不惜派遣侍妾紫轩勾引杨影枫，阴谋败露后更是将杨影枫打下剑气峰。但他没想到的是紫轩爱上了杨影枫，万万没想到的是杨影枫坠落剑气峰不但未死还武功大进，最终在与杨比武时含恨殒命。
57	上官飞龙	月眉儿之父，飞龙堡前堡主，江湖人称「北上官，南熙烈」的武林两大使剑高手之一，为人成熟稳重，不喜争斗，剑法也是走的沉稳一路，招式环环相扣，使敌人不知不觉陷入绝地。在凌绝峰被迫接受杨熙烈的挑战，两人全力相斗，双双殒命。
23	月眉儿	飞龙堡少堡主，纳兰真的孪生姐姐，个性倔强。幼年时目睹父亲被迫与杨熙烈比武身亡，母亲自尽，不得不在小小的年龄即独自撑起飞龙堡。这对其冲击巨大，竟将仇恨转到杨影枫身上，一心杀死杨影枫为父母报仇，却在不知情的情况下被杨影枫出手相救两次，心里对杨影枫爱恨交加，无所适从。
