GrowthType	Info	QualityLevel	Strength	Energy	Dexterity	Vitality	Attrib1Type	Attrib1Value1	Attrib1Value2	Attrib1Value3	Attrib2Type	Attrib2Value1	Attrib2Value2	Attrib2Value3	Attrib3Type	Attrib3Value1	Attrib3Value2	Attrib3Value3	Attrib4Type	Attrib4Value1	Attrib4Value2	Attrib4Value3	Attrib5Type	Attrib5Value1	Attrib5Value2	Attrib5Value3	Attrib6Type	Attrib6Value1	Attrib6Value2	Attrib6Value3	Attrib7Type	Attrib7Value1	Attrib7Value2	Attrib7Value3	Attrib8Type	Attrib8Value1	Attrib8Value2	Attrib8Value3	Attrib9Type	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3
1	偏防（天王）	1	120	60	100	120	lifemax_v	3000																																						
2	偏血（峨嵋）	1	80	80	100	140	lifemax_v	3000																																						
3	偏控（逍遥）	1	120	120	80	80	lifemax_v	3000																																						
4	偏攻（桃花）	1	140	120	60	80	lifemax_v	3000																																						
5	均衡（武当）	1	120	80	120	80	lifemax_v	3000																																						
6	刺客（天忍）	1	80	140	100	80	lifemax_v	3000																																						
7	反弹（少林）	1	100	100	60	140	lifemax_v	3000																																						
8	辅助（翠烟）	1	60	120	100	120	lifemax_v	3000																																						
9	纯暴（唐门）	1	100	140	100	60	lifemax_v	3000																																						
10	纯攻（昆仑）	1	140	100	100	60	lifemax_v	3000																																						
11	诅咒（五毒）	1	60	60	140	140	lifemax_v	3000																																						
12	偏闪（丐帮）	1	80	80	140	100	lifemax_v	3000																																						
16	霸刀	1	140	60	60	140	lifemax_v	3000																																						
1	偏防（天王）	2	90	45	75	90	lifemax_v	2000																																						
2	偏血（峨嵋）	2	60	60	75	105	lifemax_v	2000																																						
3	偏控（逍遥）	2	90	90	60	60	lifemax_v	2000																																						
4	偏攻（桃花）	2	105	90	45	60	lifemax_v	2000																																						
5	均衡（武当）	2	90	60	90	60	lifemax_v	2000																																						
6	刺客（天忍）	2	60	105	75	60	lifemax_v	2000																																						
7	反弹（少林）	2	75	75	45	105	lifemax_v	2000																																						
8	辅助（翠烟）	2	45	90	75	90	lifemax_v	2000																																						
9	纯暴（唐门）	2	75	105	75	45	lifemax_v	2000																																						
10	纯攻（昆仑）	2	105	75	75	45	lifemax_v	2000																																						
11	诅咒（五毒）	2	45	45	105	105	lifemax_v	2000																																						
12	偏闪（丐帮）	2	60	60	105	75	lifemax_v	2000																																						
1	偏防（天王）	3	72	36	60	72	lifemax_v	1500																																						
2	偏血（峨嵋）	3	48	48	60	84	lifemax_v	1500																																						
3	偏控（逍遥）	3	72	72	48	48	lifemax_v	1500																																						
4	偏攻（桃花）	3	84	72	36	48	lifemax_v	1500																																						
5	均衡（武当）	3	72	48	72	48	lifemax_v	1500																																						
6	刺客（天忍）	3	48	84	60	48	lifemax_v	1500																																						
7	反弹（少林）	3	60	60	36	84	lifemax_v	1500																																						
8	辅助（翠烟）	3	36	72	60	72	lifemax_v	1500																																						
9	纯暴（唐门）	3	60	84	60	36	lifemax_v	1500																																						
10	纯攻（昆仑）	3	84	60	60	36	lifemax_v	1500																																						
11	诅咒（五毒）	3	36	36	84	84	lifemax_v	1500																																						
12	偏闪（丐帮）	3	48	48	84	60	lifemax_v	1500																																						
15	天山	3	72	48	48	72	lifemax_v	1500																																						
1	偏防（天王）	4	60	30	50	60	lifemax_v	1200																																						
2	偏血（峨嵋）	4	40	40	50	70	lifemax_v	1200																																						
3	偏控（逍遥）	4	60	60	40	40	lifemax_v	1200																																						
4	偏攻（桃花）	4	70	60	30	40	lifemax_v	1200																																						
5	均衡（武当）	4	60	40	60	40	lifemax_v	1200																																						
6	刺客（天忍）	4	40	70	50	40	lifemax_v	1200																																						
7	反弹（少林）	4	50	50	30	70	lifemax_v	1200																																						
8	辅助（翠烟）	4	30	60	50	60	lifemax_v	1200																																						
9	纯暴（唐门）	4	50	70	50	30	lifemax_v	1200																																						
10	纯攻（昆仑）	4	70	50	50	30	lifemax_v	1200																																						
11	诅咒（五毒）	4	30	30	70	70	lifemax_v	1200																																						
12	偏闪（丐帮）	4	40	40	70	50	lifemax_v	1200																																						
1	偏防（天王）	5	48	24	40	48	lifemax_v	1000																																						
2	偏血（峨嵋）	5	32	32	40	56	lifemax_v	1000																																						
3	偏控（逍遥）	5	48	48	32	32	lifemax_v	1000																																						
4	偏攻（桃花）	5	56	48	24	32	lifemax_v	1000																																						
5	均衡（武当）	5	48	32	48	32	lifemax_v	1000																																						
6	刺客（天忍）	5	32	56	40	32	lifemax_v	1000																																						
7	反弹（少林）	5	40	40	24	56	lifemax_v	1000																																						
8	辅助（翠烟）	5	24	48	40	48	lifemax_v	1000																																						
9	纯暴（唐门）	5	40	56	40	24	lifemax_v	1000																																						
10	纯攻（昆仑）	5	56	40	40	24	lifemax_v	1000																																						
11	诅咒（五毒）	5	24	24	56	56	lifemax_v	1000																																						
12	偏闪（丐帮）	5	32	32	56	40	lifemax_v	1000																																						
1	偏防（天王）	6	36	18	30	36	lifemax_v	800																																						
2	偏血（峨嵋）	6	24	24	30	42	lifemax_v	800																																						
3	偏控（逍遥）	6	36	36	24	24	lifemax_v	800																																						
4	偏攻（桃花）	6	42	36	18	24	lifemax_v	800																																						
5	均衡（武当）	6	36	24	36	24	lifemax_v	800																																						
6	刺客（天忍）	6	24	42	30	24	lifemax_v	800																																						
7	反弹（少林）	6	30	30	18	42	lifemax_v	800																																						
8	辅助（翠烟）	6	18	36	30	36	lifemax_v	800																																						
9	纯暴（唐门）	6	30	42	30	18	lifemax_v	800																																						
10	纯攻（昆仑）	6	42	30	30	18	lifemax_v	800																																						
11	诅咒（五毒）	6	18	18	42	42	lifemax_v	800																																						
12	偏闪（丐帮）	6	24	24	42	30	lifemax_v	800																																						
