nQuality	nLevel	1.5	2	2.5	3	3.5
1	5	1800	2400	3000	3600	4200
1	4	1740	2320	2900	3480	4060
1	3	1680	2240	2800	3360	3920
1	2	1620	2160	2700	3240	3780
1	1	1560	2080	2600	3120	3640
2	5	1200	1600	2000	2400	2800
2	4	1170	1560	1950	2340	2730
2	3	1140	1520	1900	2280	2660
2	2	1110	1480	1850	2220	2590
2	1	1080	1440	1800	2160	2520
3	5	900	1200	1500	1800	2100
3	4	840	1120	1400	1680	1960
3	3	780	1040	1300	1560	1820
3	2	720	960	1200	1440	1680
3	1	660	880	1100	1320	1540
4	5	600	800	1000	1200	1400
4	4	576	768	960	1152	1344
4	3	552	736	920	1104	1288
4	2	528	704	880	1056	1232
4	1	504	672	840	1008	1176
5	5	360	480	600	720	840
5	4	348	464	580	696	812
5	3	336	448	560	672	784
5	2	324	432	540	648	756
5	1	312	416	520	624	728
6	5	240	320	400	480	560
6	4	216	288	360	432	504
6	3	192	256	320	384	448
6	2	168	224	280	336	392
6	1	144	192	240	288	336
