nSkillId	szAward
901	item|1981|1
902	item|1982|1
903	item|1983|1
904	item|1984|1
905	item|1985|1
906	item|2007|1
907	item|2008|1
908	item|2009|1
909	item|2010|1
910	item|2011|1
911	item|2048|1
912	item|2049|1
914	item|2050|1
916	item|2051|1
917	item|2052|1
921	item|1986|1
923	item|2012|1
925	item|2077|1
927	item|2013|1
928	item|2053|1
930	item|2014|1
931	item|2054|1
933	item|2015|1
934	item|2055|1
936	item|2016|1
938	item|2056|1
940	item|2017|1
1901	item|1971|1
1902	item|1987|1
1903	item|2018|1
1904	item|1972|1
1905	item|1988|1
1906	item|2019|1
1907	item|1973|1
1908	item|1989|1
1909	item|2020|1
1910	item|1974|1
1911	item|1990|1
1912	item|2021|1
1913	item|1975|1
1914	item|1991|1
1915	item|2022|1
1931	item|1997|1
1932	item|2028|1
1933	item|2057|1
1934	item|1998|1
1935	item|2029|1
1936	item|2058|1
1937	item|1999|1
1938	item|2030|1
1939	item|2059|1
1943	item|2001|1
1944	item|2032|1
1945	item|2061|1
1946	item|2002|1
1947	item|2033|1
1948	item|2062|1
1949	item|2003|1
1950	item|2034|1
1951	item|2063|1
1952	item|2004|1
1953	item|2035|1
1954	item|2064|1
1955	item|2005|1
1956	item|2036|1
1957	item|2065|1
1958	item|2006|1
1959	item|2037|1
1960	item|2066|1
1961	item|2038|1
1962	item|2067|1
1963	item|2078|1
1964	item|2039|1
1965	item|2068|1
1966	item|2079|1
1967	item|2040|1
1968	item|2069|1
1969	item|2080|1
1970	item|2041|1
1971	item|2070|1
1972	item|2081|1
1973	item|2042|1
1974	item|2071|1
1975	item|2082|1
1976	item|2043|1
1977	item|2072|1
1978	item|2083|1
1979	item|2044|1
1980	item|2073|1
1981	item|2084|1
1982	item|2045|1
1983	item|2074|1
1984	item|2085|1
1985	item|2046|1
1988	item|2075|1
1991	item|2086|1
1994	item|2047|1
1995	item|2076|1
1996	item|2087|1
