Level	SSSS	SSSS_Base	SSS	SSS_Base	SS	SS_Base	S	S_Base	A	A_Base	B	B_Base	C	C_Base
1	10400	250	10000	250	9600	250	8800	250	8000	250	6400	250	4800	250
2	10400	250	10000	250	9600	250	8800	250	8000	250	6400	250	4800	250
3	11700	250	11250	250	10800	250	9900	250	9000	250	7200	250	5400	250
4	13000	250	12500	250	12000	250	11000	250	10000	250	8000	250	6000	250
5	14300	250	13750	250	13200	250	12100	250	11000	250	8800	250	6600	250
6	15600	250	15000	250	14400	250	13200	250	12000	250	9600	250	7200	250
7	16900	250	16250	250	15600	250	14300	250	13000	250	10400	250	7800	250
8	18200	250	17500	250	16800	250	15400	250	14000	250	11200	250	8400	250
9	19500	250	18750	250	18000	250	16500	250	15000	250	12000	250	9000	250
10	39000	500	37500	500	36000	500	33000	500	30000	500	24000	500	18000	500
11	45500	500	43750	500	42000	500	38500	500	35000	500	28000	500	21000	500
12	52000	500	50000	500	48000	500	44000	500	40000	500	32000	500	24000	500
13	58500	500	56250	500	54000	500	49500	500	45000	500	36000	500	27000	500
14	65000	500	62500	500	60000	500	55000	500	50000	500	40000	500	30000	500
15	71500	500	68750	500	66000	500	60500	500	55000	500	44000	500	33000	500
16	78000	500	75000	500	72000	500	66000	500	60000	500	48000	500	36000	500
17	84500	500	81250	500	78000	500	71500	500	65000	500	52000	500	39000	500
18	91000	500	87500	500	84000	500	77000	500	70000	500	56000	500	42000	500
19	97500	500	93750	500	90000	500	82500	500	75000	500	60000	500	45000	500
20	175500	750	168750	750	162000	750	148500	750	135000	750	108000	750	81000	750
21	195000	750	187500	750	180000	750	165000	750	150000	750	120000	750	90000	750
22	214500	750	206250	750	198000	750	181500	750	165000	750	132000	750	99000	750
23	234000	750	225000	750	216000	750	198000	750	180000	750	144000	750	108000	750
24	253500	750	243750	750	234000	750	214500	750	195000	750	156000	750	117000	750
25	292500	750	281250	750	270000	750	247500	750	225000	750	180000	750	135000	750
26	331500	750	318750	750	306000	750	280500	750	255000	750	204000	750	153000	750
27	370500	750	356250	750	342000	750	313500	750	285000	750	228000	750	171000	750
28	409500	750	393750	750	378000	750	346500	750	315000	750	252000	750	189000	750
29	448500	750	431250	750	414000	750	379500	750	345000	750	276000	750	207000	750
30	975000	1000	937500	1000	900000	1000	825000	1000	750000	1000	600000	1000	450000	1000
31	1105000	1000	1062500	1000	1020000	1000	935000	1000	850000	1000	680000	1000	510000	1000
32	1235000	1000	1187500	1000	1140000	1000	1045000	1000	950000	1000	760000	1000	570000	1000
33	1365000	1000	1312500	1000	1260000	1000	1155000	1000	1050000	1000	840000	1000	630000	1000
34	1495000	1000	1437500	1000	1380000	1000	1265000	1000	1150000	1000	920000	1000	690000	1000
35	1625000	1000	1562500	1000	1500000	1000	1375000	1000	1250000	1000	1000000	1000	750000	1000
36	1755000	1000	1687500	1000	1620000	1000	1485000	1000	1350000	1000	1080000	1000	810000	1000
37	1885000	1000	1812500	1000	1740000	1000	1595000	1000	1450000	1000	1160000	1000	870000	1000
38	2015000	1000	1937500	1000	1860000	1000	1705000	1000	1550000	1000	1240000	1000	930000	1000
39	2145000	1000	2062500	1000	1980000	1000	1815000	1000	1650000	1000	1320000	1000	990000	1000
40	2925000	1250	2812500	1250	2700000	1250	2475000	1250	2250000	1250	1800000	1250	1350000	1250
41	3412500	1250	3281250	1250	3150000	1250	2887500	1250	2625000	1250	2100000	1250	1575000	1250
42	3900000	1250	3750000	1250	3600000	1250	3300000	1250	3000000	1250	2400000	1250	1800000	1250
43	4387500	1250	4218750	1250	4050000	1250	3712500	1250	3375000	1250	2700000	1250	2025000	1250
44	4875000	1250	4687500	1250	4500000	1250	4125000	1250	3750000	1250	3000000	1250	2250000	1250
45	5362500	1250	5156250	1250	4950000	1250	4537500	1250	4125000	1250	3300000	1250	2475000	1250
46	5850000	1250	5625000	1250	5400000	1250	4950000	1250	4500000	1250	3600000	1250	2700000	1250
47	6337500	1250	6093750	1250	5850000	1250	5362500	1250	4875000	1250	3900000	1250	2925000	1250
48	6825000	1250	6562500	1250	6300000	1250	5775000	1250	5250000	1250	4200000	1250	3150000	1250
49	7312500	1250	7031250	1250	6750000	1250	6187500	1250	5625000	1250	4500000	1250	3375000	1250
50	9126000	1500	8775000	1500	8424000	1500	7722000	1500	7020000	1500	5616000	1500	4212000	1500
51	9906000	1500	9525000	1500	9144000	1500	8382000	1500	7620000	1500	6096000	1500	4572000	1500
52	10686000	1500	10275000	1500	9864000	1500	9042000	1500	8220000	1500	6576000	1500	4932000	1500
53	11466000	1500	11025000	1500	10584000	1500	9702000	1500	8820000	1500	7056000	1500	5292000	1500
54	12246000	1500	11775000	1500	11304000	1500	10362000	1500	9420000	1500	7536000	1500	5652000	1500
55	13026000	1500	12525000	1500	12024000	1500	11022000	1500	10020000	1500	8016000	1500	6012000	1500
56	13806000	1500	13275000	1500	12744000	1500	11682000	1500	10620000	1500	8496000	1500	6372000	1500
57	14586000	1500	14025000	1500	13464000	1500	12342000	1500	11220000	1500	8976000	1500	6732000	1500
58	15366000	1500	14775000	1500	14184000	1500	13002000	1500	11820000	1500	9456000	1500	7092000	1500
59	16146000	1500	15525000	1500	14904000	1500	13662000	1500	12420000	1500	9936000	1500	7452000	1500
60	23341500	1750	22443750	1750	21546000	1750	19750500	1750	17955000	1750	14364000	1750	10773000	1750
61	24706500	1750	23756250	1750	22806000	1750	20905500	1750	19005000	1750	15204000	1750	11403000	1750
62	26071500	1750	25068750	1750	24066000	1750	22060500	1750	20055000	1750	16044000	1750	12033000	1750
63	27436500	1750	26381250	1750	25326000	1750	23215500	1750	21105000	1750	16884000	1750	12663000	1750
64	28801500	1750	27693750	1750	26586000	1750	24370500	1750	22155000	1750	17724000	1750	13293000	1750
65	30166500	1750	29006250	1750	27846000	1750	25525500	1750	23205000	1750	18564000	1750	13923000	1750
66	31531500	1750	30318750	1750	29106000	1750	26680500	1750	24255000	1750	19404000	1750	14553000	1750
67	32896500	1750	31631250	1750	30366000	1750	27835500	1750	25305000	1750	20244000	1750	15183000	1750
68	34261500	1750	32943750	1750	31626000	1750	28990500	1750	26355000	1750	21084000	1750	15813000	1750
69	35626500	1750	34256250	1750	32886000	1750	30145500	1750	27405000	1750	21924000	1750	16443000	1750
70	41769000	2000	40162500	2000	38556000	2000	35343000	2000	32130000	2000	25704000	2000	19278000	2000
71	43719000	2000	42037500	2000	40356000	2000	36993000	2000	33630000	2000	26904000	2000	20178000	2000
72	45669000	2000	43912500	2000	42156000	2000	38643000	2000	35130000	2000	28104000	2000	21078000	2000
73	47619000	2000	45787500	2000	43956000	2000	40293000	2000	36630000	2000	29304000	2000	21978000	2000
74	49569000	2000	47662500	2000	45756000	2000	41943000	2000	38130000	2000	30504000	2000	22878000	2000
75	51519000	2000	49537500	2000	47556000	2000	43593000	2000	39630000	2000	31704000	2000	23778000	2000
76	53469000	2000	51412500	2000	49356000	2000	45243000	2000	41130000	2000	32904000	2000	24678000	2000
77	55419000	2000	53287500	2000	51156000	2000	46893000	2000	42630000	2000	34104000	2000	25578000	2000
78	57369000	2000	55162500	2000	52956000	2000	48543000	2000	44130000	2000	35304000	2000	26478000	2000
79	59319000	2000	57037500	2000	54756000	2000	50193000	2000	45630000	2000	36504000	2000	27378000	2000
80	62653500	2250	60243750	2250	57834000	2250	53014500	2250	48195000	2250	38556000	2250	28917000	2250
81	65578500	2250	63056250	2250	60534000	2250	55489500	2250	50445000	2250	40356000	2250	30267000	2250
82	68503500	2250	65868750	2250	63234000	2250	57964500	2250	52695000	2250	42156000	2250	31617000	2250
83	71428500	2250	68681250	2250	65934000	2250	60439500	2250	54945000	2250	43956000	2250	32967000	2250
84	74353500	2250	71493750	2250	68634000	2250	62914500	2250	57195000	2250	45756000	2250	34317000	2250
85	77278500	2250	74306250	2250	71334000	2250	65389500	2250	59445000	2250	47556000	2250	35667000	2250
