ARENA_ID	X1	Y1	X2	Y2
1	7099	13343	7171	9976
1	7557	13370	7692	9949
1	8294	13379	8276	9967
1	8823	13370	8913	9967
1	9461	13370	9380	9958
1	7117	12481	9425	9303
1	7629	12508	8985	9276
1	8312	12508	8231	9267
1	8940	12499	7737	9267
1	9452	12553	7207	9231
2	7108	5954	7117	1967
2	7692	5945	7647	1967
2	8276	5954	8348	1940
2	8976	5918	8814	1913
2	9497	5900	9398	1931
2	9479	5244	9344	2649
2	8913	5244	8895	2658
2	8303	5217	8258	2649
2	7719	5208	7629	2640
2	7135	5199	7117	2614
3	2152	13200	2134	9994
3	2664	13182	2673	9931
3	3247	13173	3247	9940
3	3750	13173	3939	9913
3	4352	13173	4442	9940
3	4334	12526	4505	9312
3	3822	12562	3912	9258
3	3238	12571	3265	9276
3	2646	12571	2682	9285
3	2161	12508	2143	9321
4	2071	5173	2125	2605
4	2592	5182	2583	2596
4	3328	5173	3265	2596
4	3939	5173	3822	2560
4	4424	5146	4379	2596
4	4361	5819	4343	1859
4	3858	5828	3795	1877
4	3265	5828	3158	1868
4	2565	5864	2664	1895
4	2071	5828	2098	1868
