nDayIdx	szType	nItemId	nCount
1	Item	2794	1
1	Item	2804	1
1	Item	8525	1
1	Item	2877	1
2	Item	2795	1
2	Item	2804	1
2	Item	8525	1
2	Item	2877	1
3	Item	2796	1
3	Item	2804	1
3	Item	8525	1
3	Item	2877	1
4	Item	2797	1
4	Item	2804	1
4	Item	8525	1
4	Item	2877	1
5	Item	2798	1
5	Item	2804	1
5	Item	8525	1
5	Item	2877	1
6	Item	2799	1
6	Item	2804	1
6	Item	8525	1
6	Item	2877	1
7	Item	2800	1
7	Item	2804	1
7	Item	8525	1
7	Item	2877	1
8	Item	2801	1
8	Item	2804	1
8	Item	8525	1
8	Item	2877	1
9	Item	2802	1
9	Item	2804	1
9	Item	8525	1
9	Item	2877	1
10	Item	2803	1
10	Item	2804	1
10	Item	8525	1
10	Item	2877	1
11	Item	998142	1
11	Item	998141	1
11	Item	8526	1
11	Item	2877	1
12	Item	998142	1
12	Item	998141	1
12	Item	8526	1
12	Item	2877	1
13	Item	1397	1
13	Item	998006	1
13	Item	8526	1
13	Item	2877	1
14	Item	1397	1
14	Item	998006	1
14	Item	8526	1
14	Item	2877	1
