nMonth	nVip	szType	nItemId	nCount	Desc
	9	VipExp		500	5元VIP经验
		VipExp		500	5元VIP经验
	10	VipExp		500	5元VIP经验
		VipExp		500	5元VIP经验
	11	VipExp		500	5元VIP经验
		VipExp		500	5元VIP经验
	12	VipExp		500	5元VIP经验
		VipExp		500	5元VIP经验
	13	VipExp		500	5元VIP经验
		VipExp		500	5元VIP经验
	14	VipExp		500	5元VIP经验
		VipExp		500	5元VIP经验
	15	VipExp		500	5元VIP经验
		VipExp		500	5元VIP经验
	16	VipExp		500	5元VIP经验
		VipExp		500	5元VIP经验
	17	VipExp		500	5元VIP经验
		VipExp		500	5元VIP经验
	18	VipExp		500	5元VIP经验
		VipExp		500	5元VIP经验
	19	VipExp		500	5元VIP经验
		VipExp		500	5元VIP经验
	20	VipExp		500	5元VIP经验
		VipExp		500	5元VIP经验
	21	VipExp		500	5元VIP经验
		VipExp		500	5元VIP经验
	22	VipExp		500	5元VIP经验
		VipExp		500	5元VIP经验
	23	VipExp		500	5元VIP经验
		VipExp		500	5元VIP经验
	24	VipExp		500	5元VIP经验
