AwardType	AwardValue1	AwardValue2	AwardValue3	RandRate	WorldNotify	Name
item	212	1		500000		白水晶
item	222	1		25000		绿水晶
Coin	10			12000		银两10
Coin	20			12000		银两20
Coin	30			12000		银两30
Coin	40			12000		银两40
Coin	50			12000		银两50
Coin	60			12000		银两60
Coin	70			12000		银两70
Coin	80			12000		银两80
Coin	90			12000		银两90
Coin	100			12000		银两100
Coin	110			12000		银两110
Coin	120			12000		银两120
Coin	130			12000		银两130
Coin	140			12000		银两140
Coin	150			12000		银两150
Coin	160			12000		银两160
Coin	170			12000		银两170
Coin	180			12000		银两180
Coin	190			12000		银两190
Coin	200			12000		银两200
