AwardType	AwardValue1	AwardValue2	AwardValue3	RandRate	WorldNotify	Name
item	212	1		600000		白水晶
Coin	10			9600		银两10
Coin	20			9600		银两20
Coin	30			9600		银两30
Coin	40			9600		银两40
Coin	50			9600		银两50
Coin	60			9600		银两60
Coin	70			9600		银两70
Coin	80			9600		银两80
Coin	90			9600		银两90
Coin	100			9600		银两100
Coin	110			9600		银两110
Coin	120			9600		银两120
Coin	130			9600		银两130
Coin	140			9600		银两140
Coin	150			9600		银两150
Coin	160			9600		银两160
Coin	170			9600		银两170
Coin	180			9600		银两180
Coin	190			9600		银两190
Coin	200			9600		银两200
