nPartsID	nThemeID	nType	nIcon	nGirlIcon	nEffectId	Desc
1	1	1	30012			默认：头像边框
2	1	2	30025			默认：聊天泡泡
3	2	1	30005			华山论剑冠军
4	2	2	30018			华山论剑冠军
5	3	1	30001	30007		门派大师兄\大师姐
6	3	2	30014	30020		门派大师兄\大师姐
7	4	1	30004			家族宝贝
8	4	2	30017			家族宝贝
9	5	1	30008			V13
10	5	2	30021			V13
11	6	1	30009			V15
12	6	2	30022			V15
13	7	1	30010			V18
14	7	2	30023			V18
15	8	1	30027			盛典上宾
16	8	2	30028			盛典上宾
17	9	1	30029			新年·如意吉祥
18	9	2	30030			新年·如意吉祥
19	10	1	30011			情人节·泛舟江湖情人结
20	10	2	30024			情人节·泛舟江湖情人结
21	11	1	30031			武林十大美女
22	11	2	30032			武林十大美女
23	12	1	30033			本服十大美女
24	12	2	30034			本服十大美女
25	13	1	30000			盛夏·夏树苍翠
26	13	2	30013			盛夏·夏树苍翠
27	14	1	30003			武林至尊
28	14	2	30016			武林至尊
29	15	1	30035			武林名侠
30	15	2	30036			武林名侠
31	16	1	30037			V8
32	16	2	30038			V8
33	17	1	30002			Efun至尊会员
34	17	2	30015			Efun至尊会员
35	18	1	30006			荷塘月色
36	18	2	30019			荷塘月色
37	19	1	30039			新剑侠情缘庆典
38	19	2	30040			新剑侠情缘庆典
39	20	1	30041			官方认证
40	20	2	30042			官方认证
41	21	1	30043			丝路流沙
42	21	2	30044			丝路流沙
43	22	1	30045			年度通天塔登顶豪侠
44	22	2	30046			年度通天塔登顶豪侠
45	23	1	30047			圣诞快乐
46	23	2	30048			圣诞快乐
47	24	1	30049			跨服攻城战城主
48	24	2	30050			跨服攻城战城主
49	25	1	30051			情人节·泛舟江湖情人结
50	25	2	30052			情人节·泛舟江湖情人结
51	26	1	30063			好声音_七彩
52	26	2	30064			好声音_七彩
53	27	1	30053			好声音_白
54	27	2	30054			好声音_白
55	28	1	30055			好声音_蓝
56	28	2	30056			好声音_蓝
57	29	1	30057			好声音_紫
58	29	2	30058			好声音_紫
59	30	1	30059			好声音_橙
60	30	2	30060			好声音_橙
61	31	1	30061			好声音_金
62	31	2	30062			好声音_金
63	32	1	30065			鹊桥仙·金风玉露一相逢
64	32	2	30066			鹊桥仙·金风玉露一相逢
65	33	1	30067			镶金连叶摘
66	33	2	30068			镶金连叶摘
67	34	1	30069			冬日寄情
68	34	2	30070			冬日寄情
69	35	1	30071			越土之魂
70	35	2	30072			越土之魂
71	36	1	30073			繁荣兴旺
72	36	2	30074			繁荣兴旺
73	37	1	30075			水龙吟
74	37	2	30076			水龙吟
75	38	1	30077			大醉江湖梦一场
76	38	2	30078			大醉江湖梦一场
77	39	1	30079			福星高照
78	39	2	30080			福星高照
79	40	1	30081			诗音阁
80	40	2	30082			诗音阁
81	41	1	30083			风月无边
82	41	2	30084			风月无边
83	42	1	30085			日照祥云
84	42	2	30086			日照祥云
85	43	1	30087			妙笔生花
86	43	2	30088			妙笔生花
87	44	1	30089			金秋
88	44	2	30090			金秋
89	45	1	30091			宠物宝宝
90	45	2	30092			宠物宝宝
91	46	1	30093		525602	银装素裹
92	46	2	30094			银装素裹
93	47	1	30095			超核玩家
94	47	2	30096			超核玩家
