nThemeID	nDefault	nSort	nHide	szTitle	szGirlTitle	szGet	szGirlGet	szCondition	szParam	version_tx	version_vn	version_hk	version_xm	version_en	version_kor	version_th
1	1	1		默认						1	1	1	1	1	1	1
2		2		华山论剑冠军		获得途径：华山论剑冠军				1	1	1	1	1	1	1
3		3		门派大师兄	门派大师姐	获得途径：被评为门派大师兄	获得途径：被评为门派大师姐			1	1	1	1	1	1	1
4		4		家族宝贝		获得途径：家族宝贝在职成员		KinMascot		1	1	1	1	1	1	1
5		14		剑侠尊享13		获得途径：剑侠尊享13特权		Vip	13	1	1	1	1	1	1	1
6		15		剑侠尊享15		获得途径：剑侠尊享15特权		Vip	15	1	1	1	1	1	1	1
7		16		剑侠尊享18		获得途径：剑侠尊享18特权		Vip	18	1	1	1	1	1	1	1
8		5		盛典上宾		获得途径：首充礼包奖励				1	1	1	1	1	1	1
9		6		新年·如意吉祥		获得途径：新年吉祥礼包专属奖励				1	1		1			
10		7		情人节·泛舟江湖情人结		获取途径：情人节活动				1	1	1	1		1	1
11		8		武林十大美女		获得途径：「武林第一美女评选」决赛冠军及十强奖励				1	1		1			
12		9		本服十大美女		获得途径：「武林第一美女评选」海选赛冠军及十强奖励				1	1		1			
13		10		盛夏·夏树苍翠		获得途径：盛夏苍翠礼包专属奖励				1	1		1			
14		11		武林至尊		获得途径：「武林大会」冠军奖励				1	1	1	1			1
15		12		武林大会亚军		获得途径：「武林大会」亚军奖励				1	1	1	1			1
16		13		剑侠尊享8		获得途径：剑侠尊享8特权		Vip	8	1	1	1	1	1	1	1
17		17		Efun至尊会员		获得途径：Efun至尊会员特权				1			1			
18		18		荷塘月色		获得途径：中秋祭月榜排行前10名				1	1	1	1		1	
19		19		新剑侠情缘庆典		获得途径：新剑侠情缘公测活动专属奖励				1			1			
20		20	1	官方认证		获得途径：颖宝宝、林更新两位明星代言人专属				1			1			
21		21		丝路流沙		获得途径：购买丝路流沙外装礼盒豪华版				1	1	1	1	1	1	1
22		22		年度通天塔登顶豪侠		获得途径：「通天塔年度赛」登顶八层奖励				1	1	1	1	1	1	1
23		23		圣诞快乐		获得途径：购买2017圣诞节外装礼盒豪华版				1	1	1	1	1	1	1
24		24		临安城主		获得途径：「跨服攻城战」临安城城主奖励				1	1	1	1	1	1	1
25		25		情人节·泛舟江湖情人结		获取途径：情人节活动				1	1	1	1		1	
26		26		七彩音符		获得途径：「剑侠好声音」投票数达到10000票或总榜前十的奖励				1			1			
27		27		本服十大声音		获得途径：「剑侠好声音」海选赛冠军及十强奖励				1			1			
28		28		本服最佳声音		获得途径：「剑侠好声音」海选赛冠军奖励				1			1			
29		29		复赛最强声		获得途径：「剑侠好声音」复赛总榜冠军、区域冠军或门派冠军的奖励				1			1			
30		30		全服十大声音		获得途径：「剑侠好声音」决赛冠军及十强奖励				1			1			
31		31		全服最佳声音		获得途径：「剑侠好声音」决赛冠军奖励				1			1			
32		32		鹊桥仙·金风玉露一相逢		获得途径：「七夕节活动」相会鹊桥奖励				1	1		1			
33		33		镶金连叶摘		获得途径：「银杏寄情活动」获赞数位列前十名奖励				1			1			
34		34		冬日寄情		获得途径：双十二福禄宝箱开启第六层奖励				1			1			
35		35		越土之魂		获得途径：领取越土之魂豪华宝箱				1	1		1			
36		36		新年·繁荣兴旺		获得途径：2019年新年福禄宝箱专属奖励				1	1	1	1	1	1	1
37		37		水龙吟		获得途径：参加江湖志·百晓生图鉴活动				1	1	1	1	1	1	1
38		38		大醉江湖梦一场		获得途径：「大醉江湖梦一场」获赞数位列前十名奖励				1			1			
39		39		福星高照		获得途径：参加福星高照抽奖活动				1	1		1			
40		40		诗音阁		获得途径：参加「诗音阁」活动获得大区冠军				1			1			
41		41		风月无边		获得途径：参加「家族评选」活动获得复赛各分区前三名的领袖和族长				1			1			
42		42		日照祥云		获得途径：参加「家族评选」活动获得决赛前三名的领袖和族长				1			1			
43		43		妙笔生花		获得途径：参加江湖志·百晓生图鉴活动				1	1	1	1	1	1	1
44		44		叠翠流金		获得途径：充值返利礼包专属奖励				1			1			
45		45		宠物宝宝		获得途径：参加宠物活动				1	1		1			
46		46		银装素裹		获得途径：名扬四海礼包专属奖励				1			1			
47		47		超核玩家		获得途径：剑侠情缘专属管家活动获得				1
