Index	NpcName	TitleID	NpcTemplateId	WalkNearLength	CanAutoPath	NpcLevel	XPos	YPos	StandDir	Quantity	NpcType	NpcCamp	NpcDroprate	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	Removewhendeath	ChangeColorScheme	
ToNextFloor1	三层入口一		74	150	1	99	6085	9465		-1	0	0		0	0	0	0	0	0	0	0	
ToNextFloor2	三层入口二		74	150	1	99	4040	9120		-1	0	0		0	0	0	0	0	0	0	0	
ToUpperStory1	一层入口一		74	150	1	99	9150	9320		-1	0	0		0	0	0	0	0	0	0	0	
ToUpperStory2	一层入口二		74	150	1	99	4150	6560		-1	0	0		0	0	0	0	0	0	0	0	
ToBossRoom1	二层玄天武机						9660	3650		-1	0	0		0	0	0	0	0	0	0	0	
ToBossRoom2	二层白起						400	2310		-1	0	0		0	0	0	0	0	0	0	0	
ToBossRoom3	二层李斯						10060	8660		-1	0	0		0	0	0	0	0	0	0	0	
Floor2	大秦锐士		1833			80	2070	9835		-1	0	0	0	0	0	0	0	0	0	0	0	0
Floor2	大秦锐士		1833			80	1861	9672		-1	0	0	0	0	0	0	0	0	0	0	0	0
Floor2	大秦锐士		1833			80	2255	9632		-1	0	0	0	0	0	0	0	0	0	0	0	0
Floor2	大秦锐士		1833			80	1948	9493		-1	0	0	0	0	0	0	0	0	0	0	0	0
Floor2	大秦锐士		1833			80	2151	9464		-1	0	0	0	0	0	0	0	0	0	0	0	0
Floor2	大秦锐士		1833			80	5148	9869		-1	0	0	0	0	0	0	0	0	0	0	0	0
Floor2	大秦锐士		1833			80	4933	9701		-1	0	0	0	0	0	0	0	0	0	0	0	0
Floor2	大秦锐士		1833			80	5380	9719		-1	0	0	0	0	0	0	0	0	0	0	0	0
Floor2	大秦锐士		1833			80	5049	9481		-1	0	0	0	0	0	0	0	0	0	0	0	0
Floor2	大秦锐士		1833			80	5264	9481		-1	0	0	0	0	0	0	0	0	0	0	0	0
Floor2	大秦锐士		1833			80	7617	9782		-1	0	0	0	0	0	0	0	0	0	0	0	0
Floor2	大秦锐士		1833			80	7368	9667		-1	0	0	0	0	0	0	0	0	0	0	0	0
Floor2	大秦锐士		1833			80	7483	9458		-1	0	0	0	0	0	0	0	0	0	0	0	0
Floor2	大秦锐士		1833			80	7715	9446		-1	0	0	0	0	0	0	0	0	0	0	0	0
Floor2	大秦锐士		1833			80	7820	9661		-1	0	0	0	0	0	0	0	0	0	0	0	0
Floor2	大秦锐士		1833			80	9721	7284		-1	0	0	0	0	0	0	0	0	0	0	0	0
Floor2	大秦锐士		1833			80	9570	7180		-1	0	0	0	0	0	0	0	0	0	0	0	0
Floor2	大秦锐士		1833			80	9895	7093		-1	0	0	0	0	0	0	0	0	0	0	0	0
Floor2	大秦锐士		1833			80	9634	6966		-1	0	0	0	0	0	0	0	0	0	0	0	0
Floor2	大秦锐士		1833			80	9813	6884		-1	0	0	0	0	0	0	0	0	0	0	0	0
Floor2	大秦锐士		1833			80	8585	5175		-1	0	0	0	0	0	0	0	0	0	0	0	0
Floor2	大秦锐士		1833			80	8370	4995		-1	0	0	0	0	0	0	0	0	0	0	0	0
Floor2	大秦锐士		1833			80	8828	4943		-1	0	0	0	0	0	0	0	0	0	0	0	0
Floor2	大秦锐士		1833			80	8509	4781		-1	0	0	0	0	0	0	0	0	0	0	0	0
Floor2	大秦锐士		1833			80	8724	4757		-1	0	0	0	0	0	0	0	0	0	0	0	0
Floor2	大秦锐士		1833			80	2151	1940		-1	0	0	0	0	0	0	0	0	0	0	0	0
Floor2	大秦锐士		1833			80	1966	1738		-1	0	0	0	0	0	0	0	0	0	0	0	0
Floor2	大秦锐士		1833			80	2458	1796		-1	0	0	0	0	0	0	0	0	0	0	0	0
Floor2	大秦锐士		1833			80	2070	1529		-1	0	0	0	0	0	0	0	0	0	0	0	0
Floor2	大秦锐士		1833			80	2371	1558		-1	0	0	0	0	0	0	0	0	0	0	0	0
Floor2	大秦锐士		1833			80	6910	7910		-1	0	0	0	0	0	0	0	0	0	0	0	0
Floor2	大秦锐士		1833			80	6730	7783		-1	0	0	0	0	0	0	0	0	0	0	0	0
Floor2	大秦锐士		1833			80	7107	7766		-1	0	0	0	0	0	0	0	0	0	0	0	0
Floor2	大秦锐士		1833			80	6834	7586		-1	0	0	0	0	0	0	0	0	0	0	0	0
Floor2	大秦锐士		1833			80	7043	7563		-1	0	0	0	0	0	0	0	0	0	0	0	0
Floor2	大秦锐士		1833			80	3948	7945		-1	0	0	0	0	0	0	0	0	0	0	0	0
Floor2	大秦锐士		1833			80	3762	7783		-1	0	0	0	0	0	0	0	0	0	0	0	0
Floor2	大秦锐士		1833			80	4151	7818		-1	0	0	0	0	0	0	0	0	0	0	0	0
Floor2	大秦锐士		1833			80	3855	7597		-1	0	0	0	0	0	0	0	0	0	0	0	0
Floor2	大秦锐士		1833			80	4075	7615		-1	0	0	0	0	0	0	0	0	0	0	0	0
Floor2	大秦锐士		1833			80	4255	2161		-1	0	0	0	0	0	0	0	0	0	0	0	0
Floor2	大秦锐士		1833			80	4052	1993		-1	0	0	0	0	0	0	0	0	0	0	0	0
Floor2	大秦锐士		1833			80	4458	1981		-1	0	0	0	0	0	0	0	0	0	0	0	0
Floor2	大秦锐士		1833			80	4110	1767		-1	0	0	0	0	0	0	0	0	0	0	0	0
Floor2	大秦锐士		1833			80	4354	1749		-1	0	0	0	0	0	0	0	0	0	0	0	0
Floor2	大秦锐士		1833			80	9587	2132		-1	0	0	0	0	0	0	0	0	0	0	0	0
Floor2	大秦锐士		1833			80	9408	1952		-1	0	0	0	0	0	0	0	0	0	0	0	0
