DetailType	Index	Weight	Desc	AttribGroupId1	AttribGroupId2	AttribGroupId3
1	1	1000	lifemax_v	2001	2002	2003
1	2	1000	weaken_deadlystrike_v	2013	2014	2015
1	3	1000	metal_resist_v	2016	2017	2018
1	4	1000	wood_resist_v	2019	2020	2021
1	5	1000	all_series_resist_v	2031	2032	2033
1	6	1000	ignore_all_resist_v	2034	2035	2036
1	7	1000	meleedamagereturn_v	2037	2038	2039
1	8	1000	vitality_v	2049	2050	2051
1	9	1000	energy_v	2052	2053	2054
2	1	1000	lifemax_v	2001	2002	2003
2	2	1000	physical_damage_v	2004	2005	2006
2	3	1000	metal_resist_v	2016	2017	2018
2	4	1000	wood_resist_v	2019	2020	2021
2	5	1000	water_resist_v	2022	2023	2024
2	6	1000	ignore_all_resist_v	2034	2035	2036
2	7	1000	meleedamagereturn_v	2037	2038	2039
2	8	1000	rangedamagereturn_v	2040	2041	2042
2	9	1000	energy_v	2052	2053	2054
3	1	1000	lifemax_v	2055	2055	2055
3	2	1000	physical_damage_v	2056	2056	2056
3	3	1000	recover_life_v	2057	2057	2057
3	4	1000	wood_resist_v	2061	2061	2061
3	5	1000	water_resist_v	2062	2062	2062
3	6	1000	fire_resist_v	2063	2063	2063
3	7	1000	meleedamagereturn_v	2067	2067	2067
3	8	1000	rangedamagereturn_v	2068	2068	2068
3	9	1000	strength_v	2069	2069	2069
4	1	1000	physical_damage_v	2056	2056	2056
4	2	1000	recover_life_v	2057	2057	2057
4	3	1000	ignore_defense_v	2058	2058	2058
4	4	1000	water_resist_v	2062	2062	2062
4	5	1000	fire_resist_v	2063	2063	2063
4	6	1000	earth_resist_v	2064	2064	2064
4	7	1000	rangedamagereturn_v	2068	2068	2068
4	8	1000	strength_v	2069	2069	2069
4	9	1000	dexterity_v	2070	2070	2070
5	1	1000	recover_life_v	2007	2008	2009
5	2	1000	ignore_defense_v	2010	2011	2012
5	3	1000	weaken_deadlystrike_v	2013	2014	2015
5	4	1000	fire_resist_v	2025	2026	2027
5	5	1000	earth_resist_v	2028	2029	2030
5	6	1000	all_series_resist_v	2031	2032	2033
5	7	1000	strength_v	2043	2044	2045
5	8	1000	dexterity_v	2046	2047	2048
5	9	1000	vitality_v	2049	2050	2051
6	1	1000	ignore_defense_v	2058	2058	2058
6	2	1000	weaken_deadlystrike_v	2059	2059	2059
6	3	1000	metal_resist_v	2060	2060	2060
6	4	1000	earth_resist_v	2064	2064	2064
6	5	1000	all_series_resist_v	2065	2065	2065
6	6	1000	ignore_all_resist_v	2066	2066	2066
6	7	1000	dexterity_v	2070	2070	2070
6	8	1000	vitality_v	2071	2071	2071
6	9	1000	energy_v	2072	2072	2072
